sequence,version,stage,file,status,lines,words,characters,h2_sections,all_headings,code_blocks,inserted,deleted,similarity,h2_added,h2_removed,audit,patches,sha256
11,0.8.0,Structure Update,FOREST-LANGUAGE-Working-Draft-0.8-Structure-Update.md,Working Draft,1508,6279,39602,49,89,41,125,118,0.91924227,🪵 Twigs | 🍃 Leaf Foliage,🔎 Evidence Levels | 🧪 Fertilizer,,,f2af0ecca986bd4639a92c37d7b07c4755704d04de48ed808fbd0afc9ce2e3ac
12,0.8.0,Notes Seeds Growth Update,FOREST-LANGUAGE-Working-Draft-0.8-Notes-Seeds-Growth-Update.md,Working Draft,1558,6489,40935,49,91,42,176,126,0.90150033,🌰 Seeds | 🌰 Seed Vault,🌰 Seed | 🔐 Seed Vault,,,ba9df33d3b33d9c2435cbe78d453ff098c468d49493da394ddd63a4710966c58
13,0.9.0,Flowers Golden Fruit,FOREST-LANGUAGE-Working-Draft-0.9-Flowers-Golden-Fruit.md,Working Draft,1707,7169,45114,49,96,51,151,2,0.95313936,,,,,4b8d686c66523f35f5fe9c03a974949f96dceecfb55fa0c9c8f389241bb6268f
14,0.10.0,Cedar Leaf Litter,FOREST-LANGUAGE-Working-Draft-0.10-Cedar-Leaf-Litter.md,Working Draft,1948,8439,53437,49,107,52,250,9,0.92913817,,,,,c26611eed489882d0e7312d97a814ca7caf599aa858a3715d9218805b573ca5a
15,0.11.0,Cedar Recovery,FOREST-LANGUAGE-Working-Draft-0.11-Cedar-Recovery.md,Working Draft,2239,10068,64125,49,116,59,306,15,0.92333413,,,,,e4974d3815196e8a7923ab06cf1392f554b315ea48a7b58acb788145b9590db0
16,0.12.0,Cedar Oil,FOREST-LANGUAGE-Working-Draft-0.12-Cedar-Oil.md,Working Draft,2323,10445,66424,49,119,63,284,200,0.89390618,,,,,785fe724d022756ef3f08adcda40c95f05f00c4276f28e9609a9acc50ec00c87
17,0.12.1,Language revision,FOREST-LANGUAGE-Reviewed-0.12.1.md,Working Draft,2451,11252,72045,49,122,64,226,98,0.93213238,,,,,d36f367201cdef3e0a420a86986cba249afb76abc30983cb5cd30619c9f22518
18,0.13.0,Sycamore Fluids,FOREST-LANGUAGE-Reviewed-0.13.0-Sycamore-Fluids.md,Working Draft,2540,11917,76269,52,125,64,137,48,0.96293328,🌳 Sycamore | 💧 Fluids | 🟤 Sap,,FOREST-LANGUAGE-0.13.0-Sycamore-Fluids-AUDIT.md,FOREST-LANGUAGE-0.13.0-Sycamore-Fluids.patch,be8f6107005d7eba1cf79cfb5d9fa717e084ea166a346d773306b78e9d91c567
19,0.13.1,Sycamore Connections,FOREST-LANGUAGE-Reviewed-0.13.1-Sycamore-Connections.md,Working Draft,2649,12525,80583,52,130,65,115,6,0.97668144,,,,FOREST-LANGUAGE-0.13.1-Sycamore-Connections.patch,a08ac1f168d659ce155d6a1a53a46c6fefd40ddf4211484a71f286faca8a4e22
20,0.13.2,Tar Sap,FOREST-LANGUAGE-Reviewed-0.13.2-Tar-Sap.md,Working Draft,2784,13202,85017,53,133,68,137,2,0.97441561,⚫ Tar Sap,,,FOREST-LANGUAGE-0.13.2-Tar-Sap.patch,f385418c151cb25bb2e48f4a8d78580f8f7e47a0fd64da5e04c7c92fcfbdcfd4
21,0.13.3,Fluid Ecology,FOREST-LANGUAGE-Reviewed-0.13.3-Fluid-Ecology.md,Working Draft,2919,14252,91090,55,134,66,253,118,0.93494652,💦 Water | 🚿 Watering,,FOREST-LANGUAGE-0.13.3-Fluid-Ecology-AUDIT.md,FOREST-LANGUAGE-0.13.3-Fluid-Ecology.patch,e82258786acd59eccf3c0783973910c13e0dfa5d2a7394a80decb97dd5be596a
22,0.13.4,Sap Emergency Incoming Oil,FOREST-LANGUAGE-Reviewed-0.13.4-Sap-Emergency-Incoming-Oil.md,Working Draft,3057,15319,98161,55,136,69,143,5,0.97523427,,,FOREST-LANGUAGE-0.13.4-Sap-Emergency-Incoming-Oil-AUDIT.md,FOREST-LANGUAGE-0.13.4-Sap-Emergency-Incoming-Oil.patch,74bed0b57674aaa011999d971840d8f8c192f5fe4b33cac397a303cf5edfd3f4
23,0.13.5,Cedar Oil Modes,FOREST-LANGUAGE-Reviewed-0.13.5-Cedar-Oil-Modes.md,Working Draft,3215,16266,104033,55,142,69,170,12,0.97098214,,,FOREST-LANGUAGE-0.13.5-Cedar-Oil-Modes-AUDIT.md,FOREST-LANGUAGE-0.13.5-Cedar-Oil-Modes.patch,ea11fbca76b5d84db1a821b69e7053603ce741b197354a03214a5b674e06f8b7
24,0.13.6,Tree Propagation Recovery,FOREST-LANGUAGE-Reviewed-0.13.6-Tree-Propagation-Recovery.md,Working Draft,3377,17202,110194,56,147,71,167,5,0.97390777,🌿 Propagation,,FOREST-LANGUAGE-0.13.6-Tree-Propagation-Recovery-AUDIT.md,FOREST-LANGUAGE-0.13.6-Tree-Propagation-Recovery.patch,4ecdda34695245dcf2168fa8ce63e36dca4054282be83402056961d5d849348b
25,0.13.7,Propagation Fertilizer,FOREST-LANGUAGE-Reviewed-0.13.7-Propagation-Fertilizer.md,Working Draft,3539,18171,116743,57,150,72,240,78,0.95401966,🌾 Fertilizer,,FOREST-LANGUAGE-0.13.7-Propagation-Fertilizer-AUDIT.md,FOREST-LANGUAGE-0.13.7-Propagation-Fertilizer.patch,969284a27bebd2eaa711f9127f2b1affea3ad2bb057812d5c0c3c41ad8ce50db
26,0.13.8,Spirit Recovery Cherry Fallback,FOREST-LANGUAGE-Reviewed-0.13.8-Spirit-Recovery-Cherry-Fallback.md,Working Draft,3759,19643,126473,57,155,78,247,27,0.96245547,,,FOREST-LANGUAGE-0.13.8-Spirit-Recovery-Cherry-Fallback-AUDIT.md,FOREST-LANGUAGE-0.13.8-Spirit-Recovery-Cherry-Fallback.patch,87be80329c0e5355f933b0f45374f36d4a5e03199e8143baf814b538c65265f5
27,0.13.9,Maple Syrup,FOREST-LANGUAGE-Reviewed-0.13.9-Maple-Syrup.md,Working Draft,3934,20748,134731,58,163,81,315,140,0.94085532,🍁 Syrup,,FOREST-LANGUAGE-0.13.9-Maple-Syrup-AUDIT.md,FOREST-LANGUAGE-0.13.9-Maple-Syrup.patch,c55e252f9fdf2317025851626fb2fcbcf91cfdd56895cd53610d85bbab8520b3
28,0.13.10,Maple Notes Preferences,FOREST-LANGUAGE-Reviewed-0.13.10-Maple-Notes-Preferences.md,Working Draft,4432,23718,153683,58,170,85,563,65,0.92493426,,,FOREST-LANGUAGE-0.13.10-Maple-Notes-Preferences-AUDIT.md,FOREST-LANGUAGE-0.13.10-Maple-Notes-Preferences.patch,e4172c67e7f9761969a32ed46894e54b098515a04f79d0a2b62354e0bbb5dd38
29,0.13.11,Syrup Bucket Feeding,FOREST-LANGUAGE-Reviewed-0.13.11-Syrup-Bucket-Feeding.md,Working Draft,4712,25451,164675,59,178,89,291,11,0.96697288,🪣 Syrup Bucket,,FOREST-LANGUAGE-0.13.11-Syrup-Bucket-Feeding-AUDIT.md,FOREST-LANGUAGE-0.13.11-Syrup-Bucket-Feeding.patch,a457cde22ff05bd35ddc248f0fcf6094d71db15f0f363bc71768effdd60862c8
30,0.13.12,Maple Plugin Mod Manager,FOREST-LANGUAGE-Reviewed-0.13.12-Maple-Plugin-Mod-Manager.md,Working Draft,5007,27207,176537,59,186,91,296,1,0.96944130,,,FOREST-LANGUAGE-0.13.12-Maple-Plugin-Mod-Manager-AUDIT.md,FOREST-LANGUAGE-0.13.12-Maple-Plugin-Mod-Manager.patch,d5d817019239d082c59a7b6c47899f78c4b2def42416152d5fdb3067570646bc
31,0.13.13,Fluid Taps,FOREST-LANGUAGE-Reviewed-0.13.13-Fluid-Taps.md,Working Draft,5221,28292,182647,60,191,94,216,2,0.97868596,🚰 Taps,,FOREST-LANGUAGE-0.13.13-Fluid-Taps-AUDIT.md,FOREST-LANGUAGE-0.13.13-Fluid-Taps.patch,ed8aeaed65741ebd504219c68f0a735b2c04aef3602d80fdca873cc661e7ed24
32,0.13.14,Information Growth Cycle,FOREST-LANGUAGE-Reviewed-0.13.14-Information-Growth-Cycle.md,Working Draft,5502,30115,194033,61,199,96,282,1,0.97360813,🌿 Information Growth Cycle,,FOREST-LANGUAGE-0.13.14-Information-Growth-Cycle-AUDIT.md,FOREST-LANGUAGE-0.13.14-Information-Growth-Cycle.patch,12d8debdd60734251f64da64bc314250336074fbc871b78ffb5e2e8f55a7c4e0
33,0.13.15,Fluid Distinction,FOREST-LANGUAGE-Reviewed-0.13.15-Fluid-Distinction.md,Working Draft,5816,32147,207154,61,209,104,480,166,0.94292278,,,FOREST-LANGUAGE-0.13.15-Fluid-Distinction-AUDIT.md,FOREST-LANGUAGE-0.13.15-Fluid-Distinction.patch,a5cc985216569e13e563a066b3601e2d5518be5d0a7e401cc8f2ddb5f92beacd
34,0.13.16,Light Syrup Molasses,FOREST-LANGUAGE-Reviewed-0.13.16-Light-Syrup-Molasses.md,Working Draft,5929,32819,211668,62,214,109,206,93,0.97454236,🟫 Molasses,,FOREST-LANGUAGE-0.13.16-Light-Syrup-Molasses-AUDIT.md,FOREST-LANGUAGE-0.13.16-Light-Syrup-Molasses.patch,c1cacd47967837b00ea7d77d88275bc2a07cf3aa2ea301a672b27748b22faefa
35,0.13.17,Maple Data Stewardship,FOREST-LANGUAGE-Reviewed-0.13.17-Maple-Data-Stewardship.md,Working Draft,6117,33972,219689,62,220,111,190,2,0.98406110,,,FOREST-LANGUAGE-0.13.17-Maple-Data-Stewardship-AUDIT.md,FOREST-LANGUAGE-0.13.17-Maple-Data-Stewardship.patch,883245c7fec34a363b91d636138546decbf9bd412f2fb68db9ec0406b42cd65a
36,0.13.18,Maple Grove Orchestration,FOREST-LANGUAGE-Reviewed-0.13.18-Maple-Grove-Orchestration.md,Working Draft,6505,35795,230798,63,232,117,390,2,0.96894312,🌳 Grove,,FOREST-LANGUAGE-0.13.18-Maple-Grove-Orchestration-AUDIT.md,FOREST-LANGUAGE-0.13.18-Maple-Grove-Orchestration.patch,77a960f84c5b7409cfdf94b1a70575b1e084634c9fcb22693b5233874539460f
37,0.13.19,Leaves Foliage Branch Shake,FOREST-LANGUAGE-Reviewed-0.13.19-Leaves-Foliage-Branch-Shake.md,Working Draft,6765,37088,238773,63,243,119,315,55,0.97211756,,,FOREST-LANGUAGE-0.13.19-Leaves-Foliage-Branch-Shake-AUDIT.md,FOREST-LANGUAGE-0.13.19-Leaves-Foliage-Branch-Shake.patch,1a8f0f2b569820f7d03edad553fca1abc4832d272be94ca492ef47551b22d341
38,0.13.20,Fertilizer Absorption,FOREST-LANGUAGE-Reviewed-0.13.20-Fertilizer-Absorption.md,Working Draft,6981,38422,247635,63,251,119,230,14,0.98224938,,,FOREST-LANGUAGE-0.13.20-Fertilizer-Absorption-AUDIT.md,FOREST-LANGUAGE-0.13.20-Fertilizer-Absorption.patch,f7e970cc8281adcc73da58cf57228a547d594c048436d362168c964ce6766060
39,0.13.21,Leaf States,FOREST-LANGUAGE-Reviewed-0.13.21-Leaf-States.md,Working Draft,7213,39926,257613,63,263,126,246,14,0.98168240,,,FOREST-LANGUAGE-0.13.21-Leaf-States-AUDIT.md,FOREST-LANGUAGE-0.13.21-Leaf-States.patch,531caac1694de81150287cd20aed8ec17026e4c5c0ae4beb9afd40ec11f3833e
40,0.13.22,Sturdy Release Trusted Shed,FOREST-LANGUAGE-Reviewed-0.13.22-Sturdy-Release-Trusted-Shed.md,Working Draft,7489,41441,267090,63,273,132,286,10,0.97986668,,,FOREST-LANGUAGE-0.13.22-Sturdy-Release-Trusted-Shed-AUDIT.md,FOREST-LANGUAGE-0.13.22-Sturdy-Release-Trusted-Shed.patch,8db29aa272900a4e3c572e904d3427408ce284353e9395a00063ae126b415051
41,0.13.23,Hackers Mold Sunlight,FOREST-LANGUAGE-Reviewed-0.13.23-Hackers-Mold-Sunlight.md,Working Draft,7542,41957,270758,63,276,132,71,18,0.99407890,🚷 Hackers,🚷 Poachers,FOREST-LANGUAGE-0.13.23-Hackers-Mold-Sunlight-AUDIT.md,FOREST-LANGUAGE-0.13.23-Hackers-Mold-Sunlight.patch,0357331883b3c0034eca8a5387bc3e184830f5259c2115d627eb2ac4c2ce979f
42,0.13.24,Mold Before Hackers,FOREST-LANGUAGE-Reviewed-0.13.24-Mold-Before-Hackers.md,Working Draft,7543,41981,270913,63,276,132,41,40,0.99463043,,,FOREST-LANGUAGE-0.13.24-Mold-Before-Hackers-AUDIT.md,FOREST-LANGUAGE-0.13.24-Mold-Before-Hackers.patch,159fd65480229c58f7768670317a5439789d41e243861428d0fe2c1c158a0e7a
43,0.13.25,Mycelium,FOREST-LANGUAGE-Reviewed-0.13.25-Mycelium.md,Working Draft,7839,43677,281936,63,287,135,304,8,0.97971655,,,FOREST-LANGUAGE-0.13.25-Mycelium-AUDIT.md,FOREST-LANGUAGE-0.13.25-Mycelium.patch,b7e158a0ca8b1941fd2d4c128da04e961a4ea09b6f487bde91a9b166a96583d6
44,0.13.26,Canopy Communication,FOREST-LANGUAGE-Reviewed-0.13.26-Canopy-Communication.md,Working Draft,8157,45316,292872,63,300,135,364,46,0.97436859,,,FOREST-LANGUAGE-0.13.26-Canopy-Communication-AUDIT.md,FOREST-LANGUAGE-0.13.26-Canopy-Communication.patch,cbc25ea55cd1ecf9a9cb9e87e6aabc562feea6bd9b2d7225e149812f0bd76fdb
45,0.13.27,Canopy Solid Material,FOREST-LANGUAGE-Reviewed-0.13.27-Canopy-Solid-Material.md,Working Draft,8530,47397,306037,64,312,139,406,33,0.97369210,🪵 Solid Material,,FOREST-LANGUAGE-0.13.27-Canopy-Solid-Material-AUDIT.md,FOREST-LANGUAGE-0.13.27-Canopy-Solid-Material.patch,4994689999b8700bd223d79dede4564a4ce3862a925b6aaf889c9439029a2716
46,0.13.28,Leaf Provenance Directions,FOREST-LANGUAGE-Reviewed-0.13.28-Leaf-Provenance-Directions.md,Working Draft,8798,48805,314784,64,322,142,276,8,0.98361034,,,FOREST-LANGUAGE-0.13.28-Leaf-Provenance-Directions-AUDIT.md,FOREST-LANGUAGE-0.13.28-Leaf-Provenance-Directions.patch,701cb3b9ba44bac3c892e9995fc072525214e739a97d7d99e2249cd332ae14dc
47,0.13.29,Moss,FOREST-LANGUAGE-Reviewed-0.13.29-Moss.md,Working Draft,9233,50830,327378,65,339,149,483,48,0.97055072,🟩 Moss,,FOREST-LANGUAGE-0.13.29-Moss-AUDIT.md,FOREST-LANGUAGE-0.13.29-Moss.patch,02ca0b5446c119aed4ab29560501111df0c03e73d38d958fda12ba5dc0ee9f8e
48,0.13.30,Spirit Sap Taps Solid Material,FOREST-LANGUAGE-Reviewed-0.13.30-Spirit-Sap-Taps-Solid-Material.md,Working Draft,9645,53128,341728,64,356,150,585,173,0.95984744,,🚰 Taps,FOREST-LANGUAGE-0.13.30-Spirit-Sap-Taps-Solid-Material-AUDIT.md,FOREST-LANGUAGE-0.13.30-Spirit-Sap-Taps-Solid-Material.patch,8e68aa029aeca9ad124eeab13a54419f6a5eaf8472e68ecb2ed345c79df500b8
49,0.13.31,Spirit Tools Command List Seed Vault,FOREST-LANGUAGE-Reviewed-0.13.31-Spirit-Tools-Command-List-Seed-Vault.md,Working Draft,10742,58592,376691,63,379,185,1119,22,0.94403296,,🌰 Seed Vault,FOREST-LANGUAGE-0.13.31-Spirit-Tools-Command-List-Seed-Vault-AUDIT.md,FOREST-LANGUAGE-0.13.31-Spirit-Tools-Command-List-Seed-Vault.patch,677ba513fb0b81f530f389546a4f316f260f7f6d4d6a324a9f5608ba3f7078cc
50,0.13.32,Forest Fire Potted Trees Cherry Bonsai,FOREST-LANGUAGE-Reviewed-0.13.32-Forest-Fire-Potted-Trees-Cherry-Bonsai.md,Working Draft,11662,63319,407757,64,409,203,928,8,0.95822175,🪴 Potted Mode,,FOREST-LANGUAGE-0.13.32-Forest-Fire-Potted-Trees-Cherry-Bonsai-AUDIT.md,FOREST-LANGUAGE-0.13.32-Forest-Fire-Potted-Trees-Cherry-Bonsai.patch,5b0b402c2400981da4fea622955c71b03349defdf3e924ddb2d344dd2cd95d81
51,0.13.33,Logs Log Cabin Forest Fire CLI,FOREST-LANGUAGE-Reviewed-0.13.33-Logs-Log-Cabin-Forest-Fire-CLI.md,Working Draft,12352,66362,426725,63,430,223,769,79,0.96468727,,🏡 Log Cabin,FOREST-LANGUAGE-0.13.33-Logs-Log-Cabin-Forest-Fire-CLI-AUDIT.md,FOREST-LANGUAGE-0.13.33-Logs-Log-Cabin-Forest-Fire-CLI.patch,294c6b14f85448ee4b6551140e5aabcf369b073abff957d4d86eb752c830509c
52,0.13.34,Gardens Cedar Door Cabin Seed Vault,FOREST-LANGUAGE-Reviewed-0.13.34-Gardens-Cedar-Door-Cabin-Seed-Vault.md,Working Draft,12878,69225,444187,64,448,228,725,199,0.96337693,🌻 Garden,,FOREST-LANGUAGE-0.13.34-Gardens-Cedar-Door-Cabin-Seed-Vault-AUDIT.md,FOREST-LANGUAGE-0.13.34-Gardens-Cedar-Door-Cabin-Seed-Vault.patch,4fdf39e7190ab0c0ab22aab8802277f1fe0fdba527b9710e29e994d49b539b7d
53,0.13.35,Potted Cedar Cabin Guard Encryption,FOREST-LANGUAGE-Reviewed-0.13.35-Potted-Cedar-Cabin-Guard-Encryption.md,Working Draft,13246,71332,457113,64,459,234,390,22,0.98422906,,,FOREST-LANGUAGE-0.13.35-Potted-Cedar-Cabin-Guard-Encryption-AUDIT.md,FOREST-LANGUAGE-0.13.35-Potted-Cedar-Cabin-Guard-Encryption.patch,7fc577b1b214400d71de61f741b8cc17f6fed0b15c89bb091a496652963d55cf
