current_path	sha256	size	certified_matches	historical_matches	other_exact_matches
model_form/model.py	f6a5b2af4dcd79c41815ecb8422dfd625e6b81bd29d325fc71fc0d659342cf61	4127	"[""backups/phase14_11B_certified_20260811T112947Z/model_form/model.py"", ""backups/phase14_11D0_certified_20260811T123502Z/model_form/model.py"", ""backups/phase14_11D5_certified_20260811T135122Z/model_form/model.py""]"	"[""backups/phase14_11A_20260811T111813Z/model_form/model.py"", ""backups/phase14_11A_20260811T111826Z/model_form/model.py"", ""backups/phase14_11A_20260811T111851Z/model_form/model.py"", ""backups/phase14_11G1_pre_20260811T201227Z/model_form/model.py""]"	[]
model_form/registry.py	f7c85300334f49415d600412112a48b247dd73936ee3740a644e7a9afc50ddcb	9913	"[""backups/phase14_11D0_certified_20260811T123502Z/model_form/registry.py"", ""backups/phase14_11D5_certified_20260811T135122Z/model_form/registry.py""]"	"[""backups/phase14_11G1_pre_20260811T201227Z/model_form/registry.py""]"	[]
model_form/resolution.py	6a2eac1af3c15231bc93850ae5176d4f64b331017377d3ecef5e50b4a6df162c	10800	"[""backups/phase14_11G4B_certified_20260811T204626Z/model_form/resolution.py"", ""backups/phase14_11G4_certified_20260811T211907Z/model_form/resolution.py"", ""backups/phase14_11G7_final_certified_20260811T213503Z/model_form/resolution.py""]"	[]	[]
reasoning/__init__.py	4884f4370551ceae763826703dc377f543820e48b0e588c17dabb8079baf371f	1805	[]	[]	[]
reasoning/control.py	097a6eee9386d1b4db4310308ff8e053f9fad11f787430d87896bf20975a5779	16476	"[""backups/phase14_11G7_final_certified_20260811T213503Z/reasoning/control.py""]"	"[""backups/phase14_11G1_pre_20260811T201227Z/reasoning/control.py""]"	[]
reasoning/model.py	ae596c11e57d299f631c5139dcf827e79945a9b961f18042c1f518d6a5bf8102	3934	[]	[]	[]
reasoning/router.py	fafd1cefdab42c3be03f1f62a802c071671f63b8d3581e70871786806780d434	6584	[]	[]	[]
resources/__init__.py	bb8dc32f3f92f5f4e6894550358e490c05a70e837a64251125ce7557023a550e	1876	"[""backups/phase14_11F5C2_certified_20260811T200207Z/__init__.py"", ""backups/phase14_11F_certified_20260811T200848Z/resources/__init__.py""]"	[]	[]
resources/availability.py	b6a9fe9bfbe23f8ada65d30ac76a8e8f62a4c2d33e2cc7199dc572c39c886eb7	2722	"[""backups/phase14_11F2_certified_20260811T191203Z/availability.py"", ""backups/phase14_11F3_certified_20260811T191456Z/availability.py"", ""backups/phase14_11F4A_certified_20260811T191714Z/availability.py"", ""backups/phase14_11F4B_certified_20260811T192006Z/availability.py"", ""backups/phase14_11F5A_certified_20260811T192954Z/availability.py"", ""backups/phase14_11F5B_certified_20260811T195129Z/resources/availability.py"", ""backups/phase14_11F5C2_certified_20260811T200207Z/availability.py"", ""backups/phase14_11F_certified_20260811T200848Z/resources/availability.py"", ""backups/phase14_11L8_A_governor_certified_20260813T005056Z/source/availability.py""]"	"[""backups/phase14_11F3_pre_decision_20260811T191351Z/availability.py"", ""backups/phase14_11F4A_pre_requirement_20260811T191622Z/availability.py"", ""backups/phase14_11F4B_pre_governor_20260811T191858Z/availability.py"", ""backups/phase14_11F5A_pre_request_preparation_20260811T192403Z/availability.py""]"	[]
resources/budget.py	3ab5a79d57b0ea5ea34e2c5634bd8ad9282f484e6f761a8ad62023fa6b2d3cdb	2431	"[""backups/phase14_11F2A_certified_20260811T191019Z/budget.py"", ""backups/phase14_11F2_certified_20260811T191203Z/budget.py"", ""backups/phase14_11F3_certified_20260811T191456Z/budget.py"", ""backups/phase14_11F4A_certified_20260811T191714Z/budget.py"", ""backups/phase14_11F4B_certified_20260811T192006Z/budget.py"", ""backups/phase14_11F5A_certified_20260811T192954Z/budget.py"", ""backups/phase14_11F5B_certified_20260811T195129Z/resources/budget.py"", ""backups/phase14_11F5C2_certified_20260811T200207Z/budget.py"", ""backups/phase14_11F_certified_20260811T200848Z/resources/budget.py"", ""backups/phase14_11L8_A_governor_certified_20260813T005056Z/source/budget.py""]"	"[""backups/phase14_11F2B_pre_availability_20260811T191111Z/budget.py"", ""backups/phase14_11F3_pre_decision_20260811T191351Z/budget.py"", ""backups/phase14_11F4A_pre_requirement_20260811T191622Z/budget.py"", ""backups/phase14_11F4B_pre_governor_20260811T191858Z/budget.py"", ""backups/phase14_11F5A_pre_request_preparation_20260811T192403Z/budget.py""]"	[]
resources/decision.py	f9bf6f48620efcc2973e48abfb1d035658934aff623f79b280da8c3d48208c57	3082	"[""backups/phase14_11F3_certified_20260811T191456Z/decision.py"", ""backups/phase14_11F4A_certified_20260811T191714Z/decision.py"", ""backups/phase14_11F4B_certified_20260811T192006Z/decision.py"", ""backups/phase14_11F5A_certified_20260811T192954Z/decision.py"", ""backups/phase14_11F5B_certified_20260811T195129Z/resources/decision.py"", ""backups/phase14_11F5C2_certified_20260811T200207Z/decision.py"", ""backups/phase14_11F_certified_20260811T200848Z/resources/decision.py"", ""backups/phase14_11G7_final_certified_20260811T213503Z/resources/decision.py"", ""backups/phase14_11L8_A_governor_certified_20260813T005056Z/source/decision.py""]"	"[""backups/phase14_11F4A_pre_requirement_20260811T191622Z/decision.py"", ""backups/phase14_11F4B_pre_governor_20260811T191858Z/decision.py"", ""backups/phase14_11F5A_pre_request_preparation_20260811T192403Z/decision.py""]"	[]
resources/evaluation.py	0d485027b490c4a55cbe2841f943bb1a5d65db3cb44b84ddb599747bc048723c	5069	"[""backups/phase14_11F5C2_certified_20260811T200207Z/evaluation.py"", ""backups/phase14_11F_certified_20260811T200848Z/resources/evaluation.py"", ""backups/phase14_11L8_A_governor_certified_20260813T005056Z/source/evaluation.py""]"	[]	[]
resources/governor.py	9d25c7802f6e58d4b9e8d21eff025a0c0aff0252afc84bcc13f6b78533e1aaea	6165	"[""backups/phase14_11F4B_certified_20260811T192006Z/governor.py"", ""backups/phase14_11F5A_certified_20260811T192954Z/governor.py"", ""backups/phase14_11F5B_certified_20260811T195129Z/resources/governor.py"", ""backups/phase14_11F5C2_certified_20260811T200207Z/governor.py"", ""backups/phase14_11F_certified_20260811T200848Z/resources/governor.py"", ""backups/phase14_11L8_A_governor_certified_20260813T005056Z/source/governor.py""]"	"[""backups/phase14_11F5A_pre_request_preparation_20260811T192403Z/governor.py""]"	[]
resources/live_providers.py	40b49375dbe014b27b6fc5696bccf74274864e42953c473b42ffe10a3c552299	7145	"[""backups/phase14_11J2_real_commit_certified_20260812T015243Z/resources/live_providers.py"", ""backups/phase14_11J3_real_reuse_certified_20260812T020325Z/resources/live_providers.py"", ""backups/phase14_11J4_real_multicontext_certified_20260812T020937Z/resources/live_providers.py"", ""backups/phase14_11L10_A_sustained_certified_20260813T033046Z/source_snapshots/live_providers.py"", ""backups/phase14_11L8_A_governor_certified_20260813T005056Z/source/live_providers.py"", ""backups/phase14_11L9_A_recovery_certified_20260813T023040Z/source_snapshots/live_providers.py""]"	[]	[]
resources/model.py	7262ea30a432e8a454a4069f1d3b60e50e30600aa99308974e8f925877774da7	4683	"[""backups/phase14_11F1_certified_20260811T190752Z/model.py"", ""backups/phase14_11F2A_certified_20260811T191019Z/model.py"", ""backups/phase14_11F2_certified_20260811T191203Z/model.py"", ""backups/phase14_11F3_certified_20260811T191456Z/model.py"", ""backups/phase14_11F4A_certified_20260811T191714Z/model.py"", ""backups/phase14_11F4B_certified_20260811T192006Z/model.py"", ""backups/phase14_11F5A_certified_20260811T192954Z/model.py"", ""backups/phase14_11F5B_certified_20260811T195129Z/resources/model.py"", ""backups/phase14_11F5C2_certified_20260811T200207Z/model.py"", ""backups/phase14_11F_certified_20260811T200848Z/resources/model.py"", ""backups/phase14_11G7_final_certified_20260811T213503Z/resources/model.py"", ""backups/phase14_11H7_final_certified_20260811T234518Z/resources/model.py"", ""backups/phase14_11L8_A_governor_certified_20260813T005056Z/source/model.py""]"	"[""backups/phase14_11F2A_pre_budget_20260811T190948Z/model.py"", ""backups/phase14_11F2B_pre_availability_20260811T191111Z/model.py"", ""backups/phase14_11F3_pre_decision_20260811T191351Z/model.py"", ""backups/phase14_11F4A_pre_requirement_20260811T191622Z/model.py"", ""backups/phase14_11F4B_pre_governor_20260811T191858Z/model.py"", ""backups/phase14_11F5A_pre_request_preparation_20260811T192403Z/model.py""]"	[]
resources/request_preparation.py	1e81e71ae3f6af7156ce7464fa5acacd84d37db6b827a5fa4de78993b3986549	2442	"[""backups/phase14_11F5A_certified_20260811T192954Z/request_preparation.py"", ""backups/phase14_11F5B_certified_20260811T195129Z/resources/request_preparation.py"", ""backups/phase14_11F5C2_certified_20260811T200207Z/request_preparation.py"", ""backups/phase14_11F_certified_20260811T200848Z/resources/request_preparation.py"", ""backups/phase14_11H7_final_certified_20260811T234518Z/resources/request_preparation.py""]"	[]	[]
resources/requirement.py	4cebbfaa27e3360a5ec92edd311cd2f9424ee159c8a6c5c4bfa2a3335dc89f59	3153	"[""backups/phase14_11F4A_certified_20260811T191714Z/requirement.py"", ""backups/phase14_11F4B_certified_20260811T192006Z/requirement.py"", ""backups/phase14_11F5A_certified_20260811T192954Z/requirement.py"", ""backups/phase14_11F5B_certified_20260811T195129Z/resources/requirement.py"", ""backups/phase14_11F5C2_certified_20260811T200207Z/requirement.py"", ""backups/phase14_11F_certified_20260811T200848Z/resources/requirement.py"", ""backups/phase14_11H7_final_certified_20260811T234518Z/resources/requirement.py"", ""backups/phase14_11L8_A_governor_certified_20260813T005056Z/source/requirement.py""]"	"[""backups/phase14_11F4B_pre_governor_20260811T191858Z/requirement.py"", ""backups/phase14_11F5A_pre_request_preparation_20260811T192403Z/requirement.py""]"	[]
runtime/__init__.py	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	[]	[]	"[""certification/phase14_11J2/J2_RESULT_FIELD_MAP.txt"", ""state/.active.yaml.lock""]"
runtime/adapters/__init__.py	40475ca312238520ba69e30f606a28ab0df0b657445ea2c9f7a0531e0f5d9442	323	[]	[]	[]
runtime/adapters/base.py	e2b002a37b7048fa543876a26c8608154a9707acdb93c378d3a1bdea66b395fb	3991	"[""backups/phase14_11E4E2_certified_20260811T155944Z/base.py""]"	[]	[]
runtime/adapters/factory.py	80a70080689f15fc394b0db895927edb0f890f3b8d9e81c964af2641ecc2df3e	1883	[]	[]	[]
runtime/adapters/hermes.py	a09949eead5cb9772aca312c91630703c7ff8ce43df778730279445b25635084	49088	"[""backups/phase14_11L10_A_sustained_certified_20260813T033046Z/source_snapshots/hermes.py"", ""backups/phase14_11L9_A_recovery_certified_20260813T023040Z/source_snapshots/hermes.py""]"	[]	[]
runtime/conversation_continuity.py	f6604bce6c78b0f1a3c0f1de222b143d315dbe630776b8bdaf326e680327e997	5215	"[""backups/phase14_11E3B_certified_20260811T141850Z/conversation_continuity.py"", ""backups/phase14_11E3_certified_20260811T142122Z/runtime/conversation_continuity.py""]"	[]	[]
runtime/helpers/hermes_profile_bridge.py	85b463d66884bdea60710b7ec9e5f0b1df5d4c75c6713bde7f08d38e1f973909	7506	[]	[]	[]
runtime/model_residency.py	a09e7c2a6203eafd8f1d748b65798d87d0b281635f0b2515addbba4027b7df63	3492	"[""backups/phase14_11H3_certified_20260811T222253Z/runtime/model_residency.py"", ""backups/phase14_11H5G_certified_20260811T233141Z/runtime/model_residency.py"", ""backups/phase14_11H6D_certified_20260811T234357Z/runtime/model_residency.py"", ""backups/phase14_11H7_final_certified_20260811T234518Z/runtime/model_residency.py"", ""backups/phase14_11HB3_certified_20260811T231202Z/runtime/model_residency.py"", ""backups/phase14_11HB5_certified_20260811T231320Z/runtime/model_residency.py""]"	[]	[]
runtime/session_identity.py	8a1d668e898dc2df7b60fd5099be0cf42dd2d4c864cbe163164f0a061a777353	2710	"[""backups/phase14_11D0_certified_20260811T123502Z/runtime/session_identity.py"", ""backups/phase14_11D5_certified_20260811T135122Z/runtime/session_identity.py"", ""backups/phase14_11HB2_certified_20260811T230726Z/runtime/session_identity.py"", ""backups/phase14_11HB3_certified_20260811T231202Z/runtime/session_identity.py"", ""backups/phase14_11HB5_certified_20260811T231320Z/runtime/session_identity.py""]"	[]	[]
runtime/session_store.py	3c3449fa878920ea27f39b6216cf38a687d09a08da1d5b57af68c1a2f4beb48f	7080	"[""backups/phase14_11D0_certified_20260811T123502Z/runtime/session_store.py"", ""backups/phase14_11D5_certified_20260811T135122Z/runtime/session_store.py"", ""backups/phase14_11H7_final_certified_20260811T234518Z/runtime/session_store.py"", ""backups/phase14_11HB2_certified_20260811T230726Z/runtime/session_store.py"", ""backups/phase14_11HB5_certified_20260811T231320Z/runtime/session_store.py""]"	[]	[]
runtime/task_session.py	d666cb1471b568bf43db4255f5e84e98c1ea502af467e1e2670e4a93dc364991	359191	"[""backups/phase14_11H5G_certified_20260811T233141Z/runtime/task_session.py"", ""backups/phase14_11H6D_certified_20260811T234357Z/runtime/task_session.py"", ""backups/phase14_11H7_final_certified_20260811T234518Z/runtime/task_session.py"", ""backups/phase14_11I9_final_certified_20260812T003738Z/runtime/task_session.py"", ""backups/phase14_11J1_real_small_certified_20260812T012516Z/runtime/task_session.py"", ""backups/phase14_11J2_real_commit_certified_20260812T015243Z/runtime/task_session.py"", ""backups/phase14_11J3_real_reuse_certified_20260812T020325Z/runtime/task_session.py"", ""backups/phase14_11J4_real_multicontext_certified_20260812T020937Z/runtime/task_session.py"", ""backups/phase14_11L10_A_sustained_certified_20260813T033046Z/source_snapshots/task_session.py"", ""backups/phase14_11L9_A_recovery_certified_20260813T023040Z/source_snapshots/task_session.py""]"	[]	[]
runtime/tool_availability.py	280e276e7cc98b94970f2f27264006ec2f38d67fb9f72987ac901db03ebc4a00	12155	[]	[]	[]
source_context/__init__.py	7a99d8dde0e595143fcdf20991993114fb626e4083a4f1eac15da6a00c12255a	339	[]	[]	[]
source_context/markdown_structure.py	20b6f156d70fe036a28a280cb8930273b3c8ecd77648585cd13901adf1758658	10650	[]	[]	[]
source_context/markdown_structure_provider.py	ef2b2deae9e495cf9effee8f147129560a1aa0e87d343109c12d825e035ff452	8894	[]	[]	[]
source_context/model.py	584601a7e559ddd4bb731581a5e275f76bdc1cddf09784d144123b070cdefba9	12378	[]	[]	[]
source_context/observation.py	58306cd160d49168bcdf43b8e014878e6c66223c816d0bad579d828b9c754de0	3605	[]	[]	[]
source_context/packet.py	6adca2fa7b4a98ab8ddabaae4bcd6be5e836f3c38f4e78dd6813db43b47a1f94	24204	[]	[]	[]
source_context/reference_matcher.py	e5f1ac6abc247f773f682a78a1e5dd50bbe6d509dbe62d1bd71dc955a8a1a4b1	11101	[]	[]	[]
source_context/rendering.py	d9b46e784424ff79b14242d6e6a8d6a3de6681668e69c14d3d48093a9452306f	13503	[]	[]	[]
source_context/snapshot.py	8489873087648fef28c74632947b2bfbc04f0a1f0f9959992b15d5655f69159e	11801	[]	[]	[]
source_context/structure.py	84151905d872b0ec2df70cc78d9ca9ea283cefbaeb345ab38091bac9978d661b	11413	[]	[]	[]
source_context/structure_provider.py	f073a1515707a069f9bba718b2a82ab7aac8f415363da38abf9f72912c4bd5a5	8876	[]	[]	[]
source_context/target_expansion.py	d9699a9c449675e6e41d0bbb40122fa46f77ec4333606c297e5c1f2da614f1ec	11584	[]	[]	[]
source_context/targeting.py	8f48ce0479d1279c5525e582ec46cf1aa35e41f0488b44fa7537bad4b0014b6b	5697	[]	[]	[]
turn_composition.py	6efeb4c948ee6fba30e0bc880ada938f2503dd4af02e7b1828c0638127f03d29	6887	[]	[]	[]
ui/__init__.py	2015630cf00dd79a550a61411e0e2b1176a00b217583b778ae3c8ba04a5332df	40	[]	[]	[]
ui/actions.py	1d03d5ecac424d50b4fa90b03198ae4538a438bc22750c768d0454332eb49c00	2073	[]	[]	[]
ui/keybindings.py	c1e3a97fbd7b493919753e5d3621e77d1f65cdc303bd2365f0c6ae5f884630c7	9944	[]	[]	[]
ui/presentation.py	d45a9dce74629864f049e7270f3c962a96f7d2f0bbaccaa07a5e09242b64d7dc	4731	[]	"[""backups/phase14_10E2A2_recovery_20260810T142016Z/ui/presentation.py""]"	[]
ui/presentation_adapters/__init__.py	022dbb13380f7508c98974925a76059b6604034f3a612517045c742d98b844e4	475	[]	[]	[]
ui/presentation_adapters/base.py	1050856431cf61420f21bdd3452ceba2f9d589533ccc96e03236c96edc396e7a	4226	[]	[]	[]
ui/presentation_adapters/generic.py	7246af7925d2d0caffb1a5e4acb9bbd267069128ab71e1a829d850ff0eb898a0	2651	[]	[]	[]
ui/presentation_host_adapters/__init__.py	ed96538b50de2bad58f9ccf7a45d1cebb9c4f5ab26201e22daf2b7e306a3a4bd	232	[]	[]	[]
ui/presentation_host_adapters/qubes_i3_x11.py	e443eae3998ae48043e0be6b4ca576aefcfa972ab7238c81efb0a5346995efb2	21532	[]	[]	[]
ui/reasoning_menu.py	aa66df7908d1bcbd8e61146bd8de6695f81c3cbec46cc5adff22d828f99200d2	23003	[]	[]	[]
